date,state,daily,cummulative
5/1/23,WI,2013,12435150
5/1/23,DE,5,2169115
5/1/23,ND,160,1314295
5/1/23,MI,2831,18755821
5/1/23,WA,3746,17698105
5/1/23,DC,11,2137348
5/1/23,TN,962,11318142
5/1/23,NE,500,3820323
5/1/23,WV,231,3097113
5/1/23,MH,0,101838
5/1/23,NH,523,2982887
5/1/23,OR,2607,9386165
5/1/23,HI,1007,3524427
5/1/23,CO,1901,13023010
5/1/23,CA,15160,88388417
5/1/23,MO,1255,10500399
5/1/23,AS,0,115281
5/1/23,NC,2163,19422129
5/1/23,PW,0,51971
5/1/23,NM,661,4745481
5/1/23,GU,45,400023
5/1/23,MT,9,1870224
5/1/23,WY,71,853575
5/1/23,VA,3152,19592828
5/1/23,IL,3643,26831528
5/1/23,MN,2709,12818338
5/1/23,SD,204,1688092
5/1/23,LA,555,6958287
5/1/23,KY,795,7505162
5/1/23,US,90630,676198192
5/1/23,ID,358,2891731
5/1/23,UT,18,6158789
5/1/23,MD,2499,14705550
5/1/23,IA,701,6128088
5/1/23,OK,670,6769966
5/1/23,CT,1396,9032258
5/1/23,SC,1021,8661338
5/1/23,MP,13,118572
5/1/23,RI,387,2669850
5/1/23,VI,3,155330
5/1/23,FL,4847,42246097
5/1/23,AZ,2653,14634010
5/1/23,VT,382,1760670
5/1/23,FM,0,209225
5/1/23,OH,2461,21090185
5/1/23,TX,6910,52461080
5/1/23,ME,867,3537925
5/1/23,GA,1604,17117237
5/1/23,PA,1725,27577284
5/1/23,NJ,1755,19813436
5/1/23,AK,195,1327026
5/1/23,MA,3926,18158056
5/1/23,NV,794,5585793
5/1/23,IN,1290,11194803
5/1/23,AR,441,4871029
5/1/23,KS,611,5385164
5/1/23,PR,265,7845300
5/1/23,AL,462,7014681
5/1/23,MS,318,4306186
5/1/23,NY,5090,45144535
4/1/23,AS,0,115274
4/1/23,WI,178,12403437
4/1/23,MT,37,1866983
4/1/23,MH,1,101009
4/1/23,WY,11,852133
4/1/23,MA,616,18107884
4/1/23,FL,2080,42154340
4/1/23,PR,133,7838612
4/1/23,AL,126,7005726
4/1/23,IA,79,6114594
4/1/23,MI,451,18708661
4/1/23,PA,604,27539436
4/1/23,NJ,794,19780916
4/1/23,UT,125,6151206
4/1/23,PW,0,51962
4/1/23,LA,219,6947614
4/1/23,VI,0,155250
4/1/23,VT,28,1755616
4/1/23,AZ,539,14594953
4/1/23,NH,72,2975367
4/1/23,CO,446,12987736
4/1/23,OH,466,21048036
4/1/23,RI,88,2663762
4/1/23,DE,87,2164841
4/1/23,ND,5,1311387
4/1/23,NV,224,5573182
4/1/23,MD,405,14669980
4/1/23,ID,53,2885801
4/1/23,MO,237,10479061
4/1/23,MN,153,12778626
4/1/23,WA,688,17639566
4/1/23,NY,1355,45063230
4/1/23,GA,709,17084057
4/1/23,AK,30,1323774
4/1/23,NM,351,4734676
4/1/23,NC,501,19390694
4/1/23,MS,45,4299905
4/1/23,CT,326,9012856
4/1/23,MP,15,118147
4/1/23,DC,66,2133082
4/1/23,US,21795,674696382
4/1/23,AR,94,4863400
4/1/23,VA,596,19548363
4/1/23,SD,32,1685434
4/1/23,OK,129,6758330
4/1/23,IN,316,11172356
4/1/23,IL,990,26768396
4/1/23,GU,46,399068
4/1/23,KY,128,7491548
4/1/23,SC,189,8645335
4/1/23,CA,3254,88152159
4/1/23,NE,68,3811958
4/1/23,TN,238,11303040
4/1/23,FM,0,208817
4/1/23,HI,132,3511891
4/1/23,OR,236,9354285
4/1/23,TX,2794,52324126
4/1/23,ME,67,3526363
4/1/23,KS,105,5374762
4/1/23,WV,31,3093520
3/1/23,PA,2856,27480966
3/1/23,NV,500,5560678
3/1/23,MS,391,4292263
3/1/23,SD,250,1679747
3/1/23,NE,452,3802304
3/1/23,HI,368,3504232
3/1/23,NM,448,4723283
3/1/23,IN,1348,11147336
3/1/23,MD,1500,14635668
3/1/23,CT,887,8993874
